title,year,language,episode_season_duration,genre,creators,stars,official_sites,links,description,votes,rating,trailer
Fear the Walking Dead,2015– ,English,44min,"Drama,Horror,Sci-Fi,Thriller","Dave Erickson,Robert Kirkman","Kim Dickens,Frank Dillane,Cliff Curtis","Official Facebook,Official Site","https://www.facebook.com/FearTWD,http://www.amctv.com/shows/fear-the-walking-dead","A Walking Dead spinoff set in Los Angeles, California. Follows two families who must band together to survive the undead apocalypse.",116000,6.9,https://imdb.com/video/vi2474294809?playlistId=tt3743822&ref_=tt_ov_vi
Bosch,2014– ,English,51min,"Crime,Drama",Eric Ellis Overmyer,"Titus Welliver,Jamie Hector,Amy Aquino",,,An L.A.P.D. homicide detective works to solve the murder of a thirteen-year-old boy while standing trial in federal court for the murder of a serial killer.,49000,8.4,https://imdb.com/video/vi3258368025?playlistId=tt3502248&ref_=tt_ov_vi
The Umbrella Academy,2019– ,English,1h,"Action,Adventure,Comedy,Drama,Fantasy,Sci-Fi","Steve Blackman,Jeremy Slater","Elliot Page,Tom Hopper,David Castañeda","Official Facebook,Official Netflix","https://www.facebook.com/NetflixUmbrellaAcademy,https://www.netflix.com/title/80186863","A family of former child heroes, now grown apart, must reunite to continue to protect the world.",171000,8.0,https://imdb.com/video/vi772128281?playlistId=tt1312171&ref_=tt_ov_vi
The Last Hour,2021– ,,36min,"Crime,Drama,Mystery,Thriller","Amit Kumar,Anupama Minz","Sanjay Kapoor,Karma Takapa,Shaylee Krishen",prime video,https://www.primevideo.com/,"A mysterious young shaman, on the run protecting a secret gift, joins hands with a seasoned city cop to hunt down a dangerous figure from his dark past. But when he falls for the cop's young daughter, he is torn between duty and love.",4900,7.6,https://imdb.com/video/vi4259233817?playlistId=tt9805612&ref_=tt_ov_vi
Miraculous: Tales of Ladybug & Cat Noir,2015– ,"Urdu,Hindi,Spanish,French,Korean,English",20min,"Animation,Action,Adventure,Family,Fantasy,Romance","Cristina Valenzuela,Bryce Papenbrook,Keith Silverstein",,"DisneyNOW,The official site for the series.","https://disneynow.go.com/shows/miraculous-tales-of-ladybug-cat-noir,http://www.miraculousladybug.com/","Marinette and Adrien, two normal teens, transform into superheroes Ladybug and Cat Noir when an evil threatens their city.",7600,7.7,https://imdb.com/video/vi2677521689?playlistId=tt2580046&ref_=tt_ov_vi
Castle,2009–2016,English,43min,"Comedy,Crime,Drama,Mystery,Romance",Andrew W. Marlowe,"Nathan Fillion,Stana Katic,Susan Sullivan","ABC (United States),Official Facebook","http://abc.go.com/primetime/castle/index?pn=index,https://www.facebook.com/#!/Castle?fref=ts","After a serial killer imitates the plots of his novels, successful mystery novelist Richard ""Rick"" Castle receives permission from the Mayor of New York City to tag along with an NYPD homicide investigation team for research purposes.",143000,8.1,https://imdb.com/video/vi3651252761?playlistId=tt1219024&ref_=tt_ov_vi
Blossom,1990–1995,English,30min,"Comedy,Drama,Family",Don Reo,"Mayim Bialik,Jenna von Oÿ,Joey Lawrence",,,A teenage girl living in a house run by men dreams what life would be like if she lived in a more conventional family.,7200,6.0,https://imdb.com/video/vi3059483161?playlistId=tt0101050&ref_=tt_ov_vi
Condor,2018– ,English,1h,"Action,Drama,Thriller","Todd Katzberg,Ken Robinson,Jason Smilovic","Max Irons,Kristen Hager,Bob Balaban",,,"A brilliant, young, idealistic CIA analyst finds himself in the middle of a conspiracy that kills everyone else at his office. Can he, with no field experience, stay alive long enough to get to the bottom of it?",12000,7.7,https://imdb.com/video/vi150256409?playlistId=tt6510950&ref_=tt_ov_vi
Murdoch Mysteries,2008– ,English,48min,"Crime,Drama,Mystery","Maureen Jennings,Cal Coons,Alexandra Zarowny","Yannick Bisson,Helene Joy,Thomas Craig","Alibi,CBC (Canada)","http://uktv.co.uk/alibi/homepage/sid/7085,https://www.cbc.ca/murdochmysteries/m/","In the 1890s, William Murdoch uses radical forensic techniques for the time, including fingerprinting and trace evidence, to solve some of the city's most gruesome murders.",11000,8.1,https://imdb.com/video/vi2131996697?playlistId=tt1091909&ref_=tt_ov_vi
The Promised Neverland,2019–2021,Japanese,23min,"Animation,Adventure,Drama,Fantasy,Horror,Mystery,Sci-Fi,Thriller","Sumire Morohoshi,Mariya Ise,Shinei Ueki",,Official site (Japan),https://neverland-anime.com/,"When three gifted kids at an isolated idyllic orphanage discover the secret and sinister purpose they were raised for, they look for a way to escape from their evil caretaker and lead the other children in a risky escape plan.",27000,8.5,https://imdb.com/video/vi4156080409?playlistId=tt8788458&ref_=tt_ov_vi
Pennyworth,2019– ,English,1h,"Action,Crime,Drama",Bruno Heller,"Jack Bannon,Ben Aldridge,Ryan Fletcher",,,"The origin story of Alfred Pennyworth, a former special-forces soldier living in London and how he came to work for Bruce Wayne's father.",10000,7.9,https://imdb.com/video/vi421970201?playlistId=tt8425532&ref_=tt_ov_vi
Search Party,2016– ,English,24min,"Comedy,Crime,Drama,Mystery,Romance,Thriller","Sarah-Violet Bliss,Charles Rogers,Michael Showalter","Alia Shawkat,John Reynolds,John Early",Official site,https://www.hbomax.com/series/urn:hbo:series:GXa-mxg4SNINiYAEAAAF3,Search Party is a dark comedy about four self-absorbed twenty-somethings who become entangled in an ominous mystery when a former college acquaintance suddenly disappears.,7200,7.7,https://imdb.com/video/vi1342554393?playlistId=tt5460226&ref_=tt_ov_vi
Colony,2016–2018,English,42min,"Action,Adventure,Drama,Sci-Fi","Ryan J. Condal,Carlton Cuse","Josh Holloway,Sarah Wayne Callies,Peter Jacobson","Official Site,Official Twitter","http://www.colonytv.com/,https://twitter.com/ColonyUSA","In the wake of a mysterious alien invasion, a family fights to stay together in a new world order.",32000,7.4,https://imdb.com/video/vi4070749465?playlistId=tt4209256&ref_=tt_ov_vi
Locke & Key,2020– ,English,48min,"Drama,Fantasy,Horror,Mystery,Thriller","Meredith Averill,Aron Eli Coleite,Carlton Cuse","Darby Stanchfield,Connor Jessup,Emilia Jones",Official Netflix,https://www.netflix.com/title/80241239,"After their father is murdered under mysterious circumstances, the three Locke siblings and their mother move into their ancestral home, Keyhouse, which they discover is full of magical keys that may be connected to their father's death.",46000,7.4,https://imdb.com/video/vi91471641?playlistId=tt3007572&ref_=tt_ov_vi
Bunk'd,2015–2021,English,30min,"Comedy,Family",Pamela Eells,"Miranda May,Mallory James Mahoney,Raphael Alejandro",Official site,http://disneychannel.disney.com/bunkd,"Emma, Ravi, and Zuri Ross head off to a rustic summer camp in Maine, where their parents met as teens. Along with their new friends, love triangle, and the fears of the camp, the trio tries their best to settle into their exciting and challenging new lives at Camp Kikiwaka.",2700,5.4,https://imdb.com/video/vi2828385561?playlistId=tt4591680&ref_=tt_ov_vi
Glitch,2015–2019,"English,Italian",45min,"Drama,Sci-Fi","Tony Ayres,Louise Fox","Patrick Brammall,Emma Booth,Sean Keenan",,,Six people return from the dead with no memory and attempt to unveil what brought them to the grave in the first place.,16000,7.3,https://imdb.com/video/vi76987673?playlistId=tt4192782&ref_=tt_ov_vi
Peep Show,2003–2015,English,25min,Comedy,"Jesse Armstrong,Sam Bain,Andrew O'Connor","David Mitchell,Robert Webb,Matt King",Channel 4 (United Kingdom),http://www.channel4.com/entertainment/tv/microsites/P/peep_show/index.html,Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.,55000,8.6,https://imdb.com/video/vi1217052185?playlistId=tt0387764&ref_=tt_ov_vi
Flatbush Misdemeanors,2021– ,English,,Comedy,"Kevin Iso,Dan Perlman","Dan Perlman,Kevin Iso,Kristin Dodson",SHOWTIME,https://www.sho.com/flatbush-misdemeanors,"A raw comedy of city life following Dan and Kevin, who play characters struggling to thrive in their new surroundings in Flatbush, Brooklyn.",120000,5.4,https://imdb.com/video/vi4156866585?playlistId=tt13266618&ref_=tt_ov_vi
PEN15,2019– ,English,30min,Comedy,"Maya Erskine,Anna Konkle,Sam Zvibleman","Maya Erskine,Anna Konkle,Melora Walters",Hulu,https://www.hulu.com/pen15,The comedic story of middle school seen through the eyes of two 7th grade girls dealing with the awkwardness of being a teenager.,6800,8.0,https://imdb.com/video/vi3866017305?playlistId=tt8324422&ref_=tt_ov_vi
Runaways,2017–2019,English,1h,"Action,Drama,Sci-Fi","Stephanie Savage,Josh Schwartz","Rhenzy Feliz,Lyrica Okano,Virginia Gardner","Hulu,Marvel (United States)","https://www.hulu.com/marvels-runaways,https://marvel.com/tv/show/248/marvels_runaways","After discovering their parents are super-villains in disguise, a group of teenagers band together to run away from their homes in order to atone for their parents' actions and to discover the secrets of their origins.",23000,7.0,https://imdb.com/video/vi3938893593?playlistId=tt1236246&ref_=tt_ov_vi
Dynasty,1981–1989,"Greek,Turkish,Russian,Spanish",1h,"Drama,Romance","Esther Shapiro,Richard Alan Shapiro","John Forsythe,Linda Evans,Joan Collins",,,"The trials and tribulations of two feuding families, the Carringtons and the Colbys, both oil rich families in Denver, Colorado.",6600,6.3,https://imdb.com/video/vi111067417?playlistId=tt0081856&ref_=tt_ov_vi
The Secret of Skinwalker Ranch,2020– ,English,42min,"Horror,Mystery,Reality-TV","Travis Taylor,Erik Bard,Brandon Fugal",,"Official site,Official YouTube channel","https://www.history.com/shows/the-secret-of-skinwalker-ranch,https://www.youtube.com/channel/UC9MAhZQQd9egwWCxrwSIsJQ","A team of experts and scientists undertakes exhaustive research at Skinwalker Ranch, an infamous location for paranormal activity and UFO sightings.",1200,6.0,https://imdb.com/video/vi2440871449?playlistId=tt10589968&ref_=tt_ov_vi
CHiPs,1977–1983,,1h,"Crime,Drama,Mystery","Rick Rosner,Paul Playdon","Erik Estrada,Larry Wilcox,Robert Pine",,,The adventures of two California Highway Patrol motorcycle officers.,8500,6.4,https://imdb.com/video/vi1253966105?playlistId=tt0075488&ref_=tt_ov_vi
Phineas and Ferb,2007–2015,English,15min,"Animation,Action,Comedy,Family,Musical,Sci-Fi","Jeff 'Swampy' Marsh,Dan Povenmire","Vincent Martella,Thomas Brodie-Sangster,Dan Povenmire","Disney XD (United States),Official Facebook","http://disneyxd.disney.com/phineas-and-ferb,https://www.facebook.com/#!/PhineasandFerb","Phineas and Ferb invent, scheme, and stay one step ahead of their bratty sister. Meanwhile, their pet platypus plots against evil Dr. Doofenshmirtz.",37000,8.0,https://imdb.com/video/vi2844264729?playlistId=tt0852863&ref_=tt_ov_vi
Growing Pains,1985–1992,,30min,"Comedy,Family",Neal Marlens,"Alan Thicke,Joanna Kerns,Kirk Cameron",,,The misadventures of a family with a home business father and a journalist mother.,14000,6.6,https://imdb.com/video/vi2224472345?playlistId=tt0088527&ref_=tt_ov_vi
TURN,2014–2017,English,1h,"Drama,History,War",Craig Silverstein,"Jamie Bell,Heather Lind,Samuel Roukin",,,A Long Island farmer bands together a group of childhood friends to form an unlikely group of spies who turn the tide in America's fight for independence.,20000,8.1,https://imdb.com/video/vi2456266777?playlistId=tt2543328&ref_=tt_ov_vi
Casualty,1986– ,English,50min,Drama,"Jeremy Brock,Paul Unwin","Derek Thompson,Tony Marshall,Suzanne Packer",BBC Online - Casualty & Holby City,http://www.bbc.co.uk/casualty/,The everyday lives of the people frequenting the frenetic Accident and Emergency department of Holby City Hospital.,2700,6.0,
Sacred Games,2018–2019,Hindi,50min,"Action,Crime,Drama,Thriller",Varun Grover,"Saif Ali Khan,Nawazuddin Siddiqui,Neeraj Kabi","Facebook,Instagram","https://www.facebook.com/SacredGames/,https://www.instagram.com/sacredgames_tv/","A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm.",79000,8.6,https://imdb.com/video/vi4271749913?playlistId=tt6077448&ref_=tt_ov_vi
Family Ties,1982–1989,,30min,"Comedy,Family",Gary David Goldberg,"Michael J. Fox,Michael Gross,Meredith Baxter",,,"Chronicles liberal ex-hippies Steven and Elyse Keaton, their conservative son Alex, daughters Mallory and Jennifer, and later, youngest child Andrew.",16000,7.2,https://imdb.com/video/vi3482958361?playlistId=tt0083413&ref_=tt_ov_vi
Dummy,2020– ,,6min,"Short,Comedy,Drama,Fantasy,Romance",Cody Heller,"Anna Kendrick,Meredith Hagner,Donal Logue",,,An aspiring writer befriends her boyfriend's sex doll and the two take on the world together.,1600,6.6,https://imdb.com/video/vi2030419481?playlistId=tt10122474&ref_=tt_ov_vi
Tribes of Europa,2021– ,"German,English",,"Action,Adventure,Drama,Fantasy,Sci-Fi",Philip Koch,"Henriette Confurius,Emilio Sakraya,David Ali Rashed",Netflix Site,https://www.netflix.com/title/81002769,"2074. In the wake of a mysterious global disaster, war rages between the Tribes that have emerged from the wreckage of Europe. Three siblings from the peaceful Origine tribe are separated and forced to forge their own paths.",9500,6.8,https://imdb.com/video/vi1278198041?playlistId=tt9184982&ref_=tt_ov_vi
Project Blue Book,2019–2020,English,45min,"Drama,Mystery,Sci-Fi,Thriller",David O'Leary,"Aidan Gillen,Michael Malarkey,Laura Mennell",Official site,https://www.history.com/shows/project-blue-book,A tough US Air Force officer and a skeptical scientist investigate UFO and alien conspiracies as Cold War paranoia spreads.,11000,7.7,https://imdb.com/video/vi2445785881?playlistId=tt6632666&ref_=tt_ov_vi
I May Destroy You,2020,English,30min,Drama,Michaela Coel,"Michaela Coel,Weruche Opia,Paapa Essiedu",British Broadcasting Corporation (United Kingdom),https://www.bbc.co.uk/programmes/m000jyxy,"The question of sexual consent in contemporary life and how, in the new landscape of dating and relationships, we make the distinction between liberation and exploitation.",14000,8.1,https://imdb.com/video/vi2530065945?playlistId=tt11204260&ref_=tt_ov_vi
Dark Side of the Ring,2019– ,English,1h,"Documentary,Drama,History,Sport","Evan Husney,Jason Eisener","Chris Jericho,James E. Cornette,Jim Ross","Official Facebook,Official Instagram","https://www.facebook.com/Dark-Side-of-the-Ring-1898314203807782/,https://instagram.com/darksideofthering?utm_source=ig_profile_share&igshid=5b6omxva4o11","From backstage controversies to mysterious deaths and unsolved homicides, this series explores the darkest stories from the golden age of professional wrestling, and tries to find truth at the intersection of fantasy and reality.",1900,8.8,https://imdb.com/video/vi2879045145?playlistId=tt9159144&ref_=tt_ov_vi
Unforgettable,2011–2016,,1h,"Crime,Drama,Mystery","John Bellucci,Ed Redlich","Poppy Montgomery,Dylan Walsh,James Hiroyuki Liao",Official site,http://www.cbs.com/shows/unforgettable/,"Carrie Wells, a former police detective, has a rare ability to remember virtually everything she experiences including detailed visual recall. She returns to police work and uses her ability to solve crimes.",17000,6.8,https://imdb.com/video/vi602651929?playlistId=tt1842530&ref_=tt_ov_vi
Top Gear,2002– ,"Italian,German,Spanish,French,English",1h,"Adventure,Comedy,Reality-TV,Talk-Show","Jeremy Clarkson,Richard Hammond,James May",,"BBC (United Kingdom),BBC America (United States)","http://www.bbc.co.uk/topgear/,http://www.bbcamerica.com/top-gear/","The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all.",110000,8.6,https://imdb.com/video/vi3437214745?playlistId=tt1628033&ref_=tt_ov_vi
Without a Trace,2002–2009,English,1h,"Crime,Drama,Mystery,Thriller",Hank Steinberg,"Anthony LaPaglia,Poppy Montgomery,Enrique Murciano",CBS (United States),http://www.cbs.com/primetime/without_a_trace/,Series about the special FBI Missing Persons Squad that finds missing people by applying advanced psychological profiling to reveal the victims lives.,18000,6.9,
Easy,2016– ,English,30min,Comedy,Joe Swanberg,"Michael Chernus,Jane Adams,Elizabeth Reaser",Official Netflix,https://www.netflix.com/title/80095699,"Intertwined groups of friends in Chicago fumble through the modern maze of love, sex, technology and culture.",13000,6.9,https://imdb.com/video/vi1854913561?playlistId=tt5562056&ref_=tt_ov_vi
The Haves and the Have Nots,2013–2021,English,42min,"Crime,Drama,Mystery,Romance",Tyler Perry,"Tika Sumpter,John Schneider,Crystal Fox",,,Centers on the rich Cryer and Harrington families (the haves) and the poor Young family (the have nots) whose lives intertwine when Hanna Young starts working for the Cryers.,3000,6.0,https://imdb.com/video/vi314622233?playlistId=tt2729716&ref_=tt_ov_vi
Safe,2018,English,5h 56min,"Crime,Drama,Mystery,Thriller",Harlan Coben,"Michael C. Hall,Amy James-Kelly,Amanda Abbington",Netflix Page (United Kingdom),https://www.netflix.com/gb/title/80201500,"After his teenage daughter goes missing, a widowed surgeon begins uncovering dark secrets of the people closest to him.",34000,7.3,https://imdb.com/video/vi3261904921?playlistId=tt7902072&ref_=tt_ov_vi
"Don't Toy with Me, Miss Nagatoro",2021– ,Japanese,24min,"Animation,Comedy,Romance","Sumire Uesaka,Daiki Yamashita,Mikako Komatsu",,Official site,https://www.nagatorosan.jp/,"High schooler Hayase Nagatoro loves to spend her free time doing one thing, and that is to bully her Senpai. After Nagatoro and her friends stumble upon the aspiring artist's drawings, they find enjoyment in mercilessly bullying the timid Senpai. Nagatoro resolves to continue her cruel game and visits him daily so that she can force Senpai into doing whatever interest...",625000,7.7,https://imdb.com/video/vi16564249?playlistId=tt12635162&ref_=tt_ov_vi
Broad City,2014–2019,English,22min,Comedy,"Ilana Glazer,Abbi Jacobson","Ilana Glazer,Abbi Jacobson,Hannibal Buress",Official Site,http://www.cc.com/shows/broad-city,"Broad City follows two women throughout their daily lives in New York City, making the smallest and mundane events hysterical and disturbing to watch all at the same time.",28000,8.4,https://imdb.com/video/vi713407001?playlistId=tt2578560&ref_=tt_ov_vi
Family Matters,1989–1998,English,30min,"Adventure,Comedy,Drama,Family,Sci-Fi","William Bickley,Robert L. Boyett,Thomas L. Miller","Reginald VelJohnson,Jaleel White,Kellie Shanygne Williams",Warner Bros. Site,http://www.virtuallot.com/cmp/comedy/cm02.htm,"The Winslow family deal with various misadventures, many of them caused by their pesky next-door neighbor, ultra-nerd Steve Urkel.",25000,6.6,https://imdb.com/video/vi4119904537?playlistId=tt0096579&ref_=tt_ov_vi
Smother,2021– ,English,,Thriller,Kate O'Riordan,"Dervla Kirwan,Gemma-Leah Devereux,Niamh Walsh",,,"On the rugged coast of County Clare, Val Ahern's husband is found dead at the foot of a cliff the morning after a family party. The matriarch starts to dig into the family's secrets to find out who might be responsible.",227000,6.2,https://imdb.com/video/vi2747842585?playlistId=tt11719808&ref_=tt_ov_vi
All Creatures Great and Small,2020– ,English,,"Comedy,Drama","Nicholas Ralph,Anna Madeley,Samuel West",,,,The numerous adventures of a friendly staff at a country veterinarian practice in 1930s to 1940s Yorkshire.,4600,8.4,https://imdb.com/video/vi2069741081?playlistId=tt10590066&ref_=tt_ov_vi
Le Bureau des Légendes,2015– ,"French,Arabic,English,Persian,Russian",52min,Drama,Eric Rochant,"Mathieu Kassovitz,Florence Loiret Caille,Jonathan Zaccaï","Official site (France),Official Twitter","http://www.canalplus.fr/c-series/pid8008-c-le-bureau-des-legendes.html,https://twitter.com/LBDLs01","After six years of undercover work in Syria, French intelligence officer Malotru returns home, where he struggles to forget his undercover identity, train a young recruit, and investigate when a colleague disappears in Algeria.",9000,8.7,https://imdb.com/video/vi600947225?playlistId=tt4063800&ref_=tt_ov_vi
"Welcome Back, Kotter",1975–1979,,30min,Comedy,"Gabe Kaplan,Alan Sacks,Peter Meyerson","Gabe Kaplan,Ron Palillo,John Travolta",,,A compassionate teacher returns to his inner city high school of his youth to teach a new generation of trouble making kids.,5700,7.0,https://imdb.com/video/vi1106886425?playlistId=tt0072582&ref_=tt_ov_vi
MacGyver,1985–1992,English,48min,"Action,Adventure,Crime,Drama",Lee David Zlotoff,"Richard Dean Anderson,Dana Elcar,Bruce McGill",,,The adventures of a secret Agent armed with almost infinite scientific resourcefulness.,36000,7.7,https://imdb.com/video/vi2062662169?playlistId=tt0088559&ref_=tt_ov_vi
Batman,1966–1968,English,25min,"Action,Adventure,Comedy,Crime,Fantasy,Sci-Fi","Lorenzo Semple Jr.,William Dozier","Adam West,Burt Ward,Alan Napier",,,The Caped Crusader and his young ward battle evildoers in Gotham City.,19000,7.5,https://imdb.com/video/vi464764185?playlistId=tt0059968&ref_=tt_ov_vi
Calls,2021– ,English,12min,"Drama,Horror,Mystery,Thriller",Fede Alvarez,"Aubrey Plaza,Clancy Brown,Nika Futterman",Official site,https://www.apple.com/tv-pr/originals/calls/,"Told through a series of interconnected phone conversation, it chronicles the mysterious story of a group of strangers whose lives are thrown into disarray in the lead-up to an apocalyptic event.",3000,7.8,https://imdb.com/video/vi3500195865?playlistId=tt9327706&ref_=tt_ov_vi
The One,2021– ,"English,Portuguese",,"Crime,Drama,Sci-Fi,Thriller","Hannah Ware,Dimitri Leonidas,Diarmaid Murtagh",,Netflix Site,https://www.netflix.com/title/80199029,"Love -- and lies -- spiral when a DNA researcher helps discover a way to find the perfect partner, and creates a bold new matchmaking service.",10000,6.6,https://imdb.com/video/vi3753361433?playlistId=tt13879466&ref_=tt_ov_vi
Heartbeat,1992–2010,English,50min,"Drama,Comedy,Crime","William Simons,Derek Fowlds,Tricia Penrose",,"Official site,Official site NRK (Norway)","http://www.itv.com/hub/heartbeat/Ya0757,https://tv.nrk.no/serie/med-hjartet-paa-rette-staden","The 1960s lives and adventures of the police constabulary, medical staff, and residents of Ashfordly and Aidensfield.",2800,6.7,https://imdb.com/video/vi2959186201?playlistId=tt0101114&ref_=tt_ov_vi
Zoo,2015–2017,English,42min,"Drama,Mystery,Sci-Fi,Thriller","Josh Appelbaum,André Nemec,Jeff Pinkner","James Wolk,Kristen Connolly,Nonso Anozie",,,A young scientist searches to find out what's causing a rash of violent animal attacks.,22000,6.8,https://imdb.com/video/vi1587001625?playlistId=tt3250026&ref_=tt_ov_vi
Thunder in My Heart,2021– ,Swedish,,Drama,"Amy Deasismont,Alexander Abdallah,Julia Lyskova Juhlin",,,,"A group of young friends as they come of age and strive to meet the unexpected demands of adult life while coming to terms with their own identities, pasts, and passions.",454000,7.8,
Saikojiman Gwaenchanha,2020,Korean,1h 10min,"Comedy,Drama,Romance","Kim Soo-hyun,Seo Ye-Ji,Oh Jeong-Se",,"Netflix,Official Site (South Korea)","https://www.netflix.com/title/81243992,http://program.tving.com/tvn/tvnpsycho",An extraordinary road to emotional healing opens up for an selfish antisocial children's book writer and a selfless psych ward caretaker when they cross paths.,13000,8.8,https://imdb.com/video/vi1947319833?playlistId=tt12451520&ref_=tt_ov_vi
Snabba Cash,2021– ,Swedish,,"Action,Crime,Drama,Thriller","Evin Ahmad,Alexander Abdallah,Ayaan Ahmed",,Netflix Site,https://www.netflix.com/title/81128450,"The entrepreneurial jet set as well as the criminal world is more brutal, chaotic and ruthless than ever. When these two worlds collide, loyalty, friendships and business partners will all be tested in the never-ending quest for easy money.",5900,7.6,https://imdb.com/video/vi3114909721?playlistId=tt10540276&ref_=tt_ov_vi
Counterpart,2017–2019,"German,English",1h,"Drama,Sci-Fi,Thriller",Justin Marks,"J.K. Simmons,Olivia Williams,Harry Lloyd",Official site,https://www.starz.com/series/counterpart/featured,"A hapless UN employee discovers that the agency he works for is hiding a gateway to a parallel dimension that's in a cold war with our own, and where his other self is a top spy. The war slowly heats up thanks to spies from both sides.",23000,8.1,https://imdb.com/video/vi486455321?playlistId=tt4643084&ref_=tt_ov_vi
Coronation Street,1960– ,English,30min,"Drama,Romance",Tony Warren,"William Roache,Helen Worth,Sally Dynevor","ITV (United Kingdom),official website","http://www.itv.com/coronationstreet,http://www.itv.com/coronationstreet","The world's longest-running television soap, Coronation Street focuses on the everyday lives of working class people in Manchester, England.",5000,5.6,https://imdb.com/video/vi2995297817?playlistId=tt0053494&ref_=tt_ov_vi
Alone,2015– ,English,44min,"Documentary,Reality-TV","Nicole Apelian,Dan,David",,,,"Ten survival ""experts"" attempt to survive alone. The winner receives $500,000.",3600,8.4,https://imdb.com/video/vi1679014681?playlistId=tt4803766&ref_=tt_ov_vi
Mirzapur,2018– ,Hindi,1h,"Action,Crime,Drama,Thriller","Puneet Krishna,Karan Anshuman","Pankaj Tripathi,Ali Fazal,Divyendu Sharma","Amazon PrimeVideo,Amazon PrimeVideo","https://www.primevideo.com/?ref_=dvm_pds_amz_in_as_s_g_primed1c_198882621099_m_Elxwk1RY-dc_s_,https://www.primevideo.com/region/eu/detail/0PDOKMV9CRLOMO5EUKNCUJLG4Q/ref_=dvm_pds_gen_in_as_s_gt_top1000dsad6%7Cc_373003790133_m_pAec9xcy-dc_s_",A shocking incident at a wedding procession ignites a series of events entangling the lives of two families in the lawless city of Mirzapur.,57000,8.4,https://imdb.com/video/vi595902745?playlistId=tt6473300&ref_=tt_ov_vi
Creepshow,2019– ,,44min,"Fantasy,Horror,Mystery","Kara Kimmer,Carey Jones,Adrienne Barbeau",,,,The fictional Creepshow comic books come to life in this anthology series of terrifying tales hosted by the silent Creepshow ghoul.,4900,7.1,https://imdb.com/video/vi480231449?playlistId=tt8762206&ref_=tt_ov_vi
Emergency!,1972–1979,,1h,"Action,Adventure,Comedy,Drama","Robert A. Cinader,Harold Jack Bloom","Randolph Mantooth,Kevin Tighe,Julie London",,,"The crew of Los Angeles County Fire Department Station 51, particularly the paramedic team, and Rampart Hospital respond to emergencies in their operating area.",4000,7.8,https://imdb.com/video/vi2880094489?playlistId=tt0068067&ref_=tt_ov_vi
Sweet Home,2020– ,Korean,52min,"Drama,Fantasy,Horror,Thriller","Song Kang,Lee Jin-Wook,Lee Si-young",,Netflix Site,https://www.netflix.com/title/81061734,"Hyun, a loner high school student who lost his entire family in a terrible accident, is forced to leave his home and has to face a new reality where monsters are trying to wipe out all of humanity. Now he must fight against all odds to try and race against the clock to save what is left of the human race before it's too late.",12000,7.4,https://imdb.com/video/vi2032320793?playlistId=tt11612120&ref_=tt_ov_vi
12 Monkeys,2015–2018,"English,French,German,Chechen,Japanese,Czech",42min,"Adventure,Drama,Mystery,Sci-Fi,Thriller","Travis Fickett,Terry Matalas","Aaron Stanford,Amanda Schull,Noah Bean","Hulu,Official Facebook","https://www.hulu.com/series/12-monkeys-e725ccb8-f4f9-4184-b983-5c01d1d200ce,https://www.facebook.com/Syfy12Monkeys/",Follows the journey of a time traveler from the post-apocalyptic future who appears in present day on a mission to locate and eradicate the source of a deadly plague that will nearly destroy the human race.,42000,7.7,https://imdb.com/video/vi3788486937?playlistId=tt3148266&ref_=tt_ov_vi
Doctor Doctor,2016–2021,English,50min,"Comedy,Drama","Ian Collie,Alan Harris,Tony McNamara","Rodger Corser,Nicole da Silva,Ryan Johnson",Twitter account,https://twitter.com/9DoctorDoctor,A rising heart surgeon's life takes a turn he never expected and soon everything comes crashing down. He soon finds himself a former big city doctor turned small town doctor.,2200,7.9,https://imdb.com/video/vi2924394521?playlistId=tt6015808&ref_=tt_ov_vi
Yasuke,2021– ,"Japanese,English",30min,"Animation,Action,Adventure,Drama,Fantasy,Thriller",Lesean Thomas,"LaKeith Stanfield,Maya Tanida,William Christopher Stephens",Official Netflix,https://www.netflix.com/title/80990863/,"He came from Africa and fought alongside a mighty feudal lord in brutal 16th century Japan. They called him the Black Samurai, and he became a legend.",3300,6.3,https://imdb.com/video/vi1592442905?playlistId=tt9310330&ref_=tt_ov_vi
Naked Attraction,2016– ,English,1h,"Game-Show,Romance","Anna Richardson,Sarah Jayne Snow,Melissa Edden",,Official Site,http://www.channel4.com/programmes/naked-attraction,A controversial dating series in which people see potential love interests whose naked bodies are gradually revealed to them. Then they must get naked themselves and choose.,790000,5.5,https://imdb.com/video/vi2347483417?playlistId=tt5969074&ref_=tt_ov_vi
Matlock,1986–1995,English,1h,"Crime,Drama,Mystery",Dean Hargrove,"Andy Griffith,Linda Purl,Kene Holiday",INSP,http://www.insp.com/shows/matlock/,"Ben Matlock is a very expensive criminal defense attorney, who charges one hundred thousand dollars to take a case. Fortunately, he's worth every penny, as he and his associates defend his clients by finding the real killer.",6700,7.0,https://imdb.com/video/vi1590607129?playlistId=tt0090481&ref_=tt_ov_vi
